,log Length (pc),log Mass (Msun),Line Mass (Msun / pc),Thermal critical line mass,Turbulent critical line mass,Magnetic critical line mass,Shear critical line mass
242,1.932758,4.462583,338.70764558169225,229.88687230458862,831.616691000244,3495.509409930216,3693.2156796567047
243,2.126075,4.923898,627.8024410343011,250.46062490772354,1116.0307844919425,1353.2649422612947,1429.4765112915643
244,2.537078,6.110544,3745.1222611523326,228.22199470680806,315.49906077097893,10832.438597979608,10875.31680621686
245,1.797412,4.235065,273.9384537186785,63.48872547378706,922.3273663473728,7872.948939282594,7878.397883882947
246,1.92823,4.692043,580.5144038263586,636.9961438576269,1475.8806561659665,1715.363796434676,1727.058148239372
247,2.572042,5.849279,1893.3765763514787,415.05323688137366,426.80305774176185,5374.926449125172,5375.912016025913
248,2.768955,6.202365,2712.7514232076865,860.0193452375825,1057.5808843172506,4165.135493702093,4192.866197691414
249,1.750217,3.646171,78.69624310742722,507.6031844687866,511.2265071647774,1475.4090701128137,1475.4344302327993
250,3.373066,7.359706,9697.058151427464,7864.283956776058,11286.884174423572,15181.413500182933,15256.692007985233
251,2.703898,6.256075,3565.964373888161,96.2863462778776,246.08110879537622,8724.884848331883,8732.872160298291
252,3.031146,6.664235,4296.244607163926,1381.5520322200193,2861.882500040767,15978.428518697972,16198.796578922884
253,1.60932,3.795684,153.59037473414605,386.4480851765814,550.3622067784589,4463.630343814218,4470.562388682225
254,3.220379,7.075977,7171.301801435918,44307.941652743146,79763.5011833135,81448.15757105136,81794.78817529498
255,1.692706,4.006771,206.0938346772571,316.51775440618115,565.0669630866196,11075.65542343544,11082.648909602465
256,2.945046,6.558451,4105.868159981113,6867.700966842851,31498.688491673216,40580.22913001642,40599.00520764863
257,2.126075,5.192664,1165.7059145596695,195.18465111817494,195.20838118741483,1662.5786168176696,1700.8668696516866
